BATSMAN ,BOWLER ,RUNS
OA Shah ,KA Pollard ,40
SC Ganguly ,SK Warne ,40
M Vijay ,S Aravind ,40
S Dhawan ,MM Patel ,40
ML Hayden ,Harbhajan Singh ,40
ST Jayasuriya ,A Kumble ,40
V Kohli ,R Bhatia ,40
ML Hayden ,R Vinay Kumar ,40
S Dhawan ,WD Parnell ,40
RV Uthappa ,MS Gony ,40
Yuvraj Singh ,Mohammed Shami ,40
WP Saha ,SL Malinga ,40
DPMD Jayawardene ,PP Chawla ,40
MK Pandey ,JP Duminy ,40
AB de Villiers ,AR Patel ,40
R Dravid ,RP Singh ,40
YV Takawale ,M Morkel ,40
CH Gayle ,CH Morris ,40
KH Pandya ,A Mishra ,40
DR Smith ,Mohammed Shami ,40
CH Gayle ,SP Narine ,40
AC Gilchrist ,CK Langeveldt ,40
MEK Hussey ,STR Binny ,39
R Dravid ,DL Vettori ,39
DJ Bravo ,PP Ojha ,39
MEK Hussey ,Harbhajan Singh ,39
CL White ,R Sharma ,39
M Vijay ,YK Pathan ,39
ST Jayasuriya ,I Sharma ,39
R Dravid ,AD Mathews ,39
YK Pathan ,SR Watson ,39
KK Nair ,YS Chahal ,39
G Gambhir ,MJ McClenaghan ,39
MA Agarwal ,R Ashwin ,39
KD Karthik ,S Nadeem ,39
AR Patel ,YS Chahal ,39
RV Uthappa ,S Nadeem ,39
KD Karthik ,R Ashwin ,39
WP Saha ,M Morkel ,39
SR Tendulkar ,JH Kallis ,39
RV Uthappa ,Rashid Khan ,39
JC Buttler ,Sandeep Sharma ,39
Yuvraj Singh ,AB Dinda ,39
KD Karthik ,SP Narine ,39
V Sehwag ,A Symonds ,39
SR Tendulkar ,R Ashwin ,39
KM Jadhav ,RA Jadeja ,39
DA Warner ,Kuldeep Yadav ,39
WP Saha ,Z Khan ,39
IK Pathan ,SK Warne ,39
DPMD Jayawardene ,JH Kallis ,39
G Gambhir ,WD Parnell ,39
RG Sharma ,B Lee ,39
KD Karthik ,Yuvraj Singh ,39
V Sehwag ,AD Mathews ,39
MK Tiwary ,KA Pollard ,39
V Sehwag ,L Balaji ,39
AB de Villiers ,Ankit Sharma ,39
GJ Maxwell ,GB Hogg ,39
G Gambhir ,SL Malinga ,39
G Gambhir ,S Nadeem ,39
KC Sangakkara ,A Nehra ,39
Yuvraj Singh ,YK Pathan ,39
EJG Morgan ,PP Chawla ,39
MEK Hussey ,B Lee ,39
